Nome Urna;Coligação;Totalização;Partido
ABEL GRAVE;REPUBLICANOS;Concorrendo;10425
ABRÃO GODOIS;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50023
ADÃO PRETTO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13655
ADELMO SOUZA;REPUBLICANOS;Concorrendo;10110
ADILSON - GAÚCHO SEVERO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45386
ADOLFO BRITO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11240
ADRI CHERINI;PL;Concorrendo;22222
ADRI MORAES;NOVO;Concorrendo;30337
ADRIANA DA SILVA;PODE;Concorrendo;20444
ADRIANA LARA;PL;Concorrendo;22789
ADRIANA LEITE;PL;Concorrendo;22223
ADRIANE RODRIGUES;REPUBLICANOS;Concorrendo;10522
ADRIANO RICOLDI;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50550
ADRIANO STRACK;PODE;Concorrendo;20092
ADRO CONTADOR;MDB;Concorrendo;15070
AIRTON ARTUS;PDT;Concorrendo;12012
AIRTON LIMA;REPUBLICANOS;Concorrendo;10444
ALANO;MDB;Concorrendo;15757
ALEMÃO DA BORRACHARIA;PODE;Concorrendo;20007
ALEMÃO KLAUS;PL;Concorrendo;22345
ALEQUIS COLETIVO;PSB;Concorrendo;40400
ALEX BARBOZA;PODE;Concorrendo;20051
ALEX GUATI;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45333
ALEXANDRA LENTZ;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11100
ALEXANDRE;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45459
ALEXANDRE BUBLITZ;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13010
ALEXANDRE GONÇALVES;PDT;Concorrendo;12001
ALEXIS GREGO;PODE;Concorrendo;20010
ALI KLEMT;PL;Concorrendo;22800
ALICE CARVALHO;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50777
ALVARO MANZONI;REPUBLICANOS;Concorrendo;10610
AMADEU BOEIRA;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44661
AMANDA RODRIGUES;PDT;Concorrendo;12700
AMARAL NEGRITO;PSB;Concorrendo;40466
